procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 154616  67496   2888  69608   72  116   163   140  491  747 12  3 85  0  0
 2  0 154616  67496   2888  69608    0    0   588     0 2802 2297 58  4 38  0  0
 2  0 154616  67496   2888  69608    4    0     4     0 3848 4820 62 11 27  0  0
 2  0 154616  67496   2888  69608    0    0     0   696 3293 4361 61 10 29  0  0
 2  0 154616  67496   2888  69608   12    0   192     0 2852 3855 59 12 30  0  0
 6  0 154616  67496   2888  69608    0 12104     0 12136 4979 3234 57 11 33  0  0
 6  0 154616  67496   2888  69608    0    0     0     0 1976 2143 54  6 40  0  0
 2  0 154616  67496   2888  69608    0    0     0     0 2322 3161 56  7 38  0  0
 2  0 154616  67496   2888  69608    0    0     0     0 2820 4163 57 10 32  0  0
 2  0 154616  67496   2888  69608    0    0     0     0 3618 4968 63 10 27  0  0
 2  0 154616  67496   2888  69608    0    0     0    32 3509 4964 62  9 29  0  0
 6  0 154616  67496   2888  69608    0    0     0     0 2069 2532 54  8 38  0  0
MEDIA
NR:  14 CPU:  63
