procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  66916  65516   5880  98584    2    5    19    13  138  292  1  1 98  0  0
 3  0  66916  65516   5880  98584    0    0     0     0 1464 4777 57 12 31  0  0
 2  0  66916  65516   5880  98584    4    0     4    28 1320 4262 50 14 37  0  0
 5  0  66916  65516   5880  98584    0    0    48     0 1452 4778 56 15 29  0  0
 2  0  66916  65516   5880  98584    0 5024     0  5024 1453 4543 49 21 30  0  0
 2  0  66916  65516   5880  98584    8    0     8     0 1355 4187 49 17 34  0  0
 2  0  66916  65516   5880  98584    0    0     0     0 1334 4259 50 12 38  0  0
 1  0  66916  65516   5880  98584    0    0     0    28 1436 4650 56 13 31  0  0
 4  0  66916  65516   5880  98584    0    0     0     0 1323 4222 51 13 36  0  0
 1  0  66916  65516   5880  98584    0    0     0     0 1531 5052 58 14 28  0  0
 4  0  66916  65516   5880  98584    4    0     4     0 1310 4196 49 14 37  0  0
 6  0  66916  65516   5880  98584    0    0     0     0 1301 4275 48 14 39  0  0
MEDIA
NR:  14 CPU:  61.1667
